,labels,preds
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,1,1
8,0,0
9,1,0
10,0,0
11,1,1
12,0,0
13,0,0
14,1,1
15,1,1
16,0,0
17,0,0
18,1,1
19,0,0
20,0,0
21,1,1
22,0,0
23,0,0
24,0,0
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,1,1
38,0,0
39,1,1
40,1,1
41,1,1
42,0,0
43,0,0
44,1,1
45,1,1
46,0,0
47,0,0
48,0,0
49,0,0
50,1,1
51,0,0
52,0,0
53,0,0
54,1,1
55,0,0
56,0,0
57,0,0
58,1,1
59,0,0
60,0,0
61,0,0
62,1,0
63,1,1
64,1,1
65,1,1
66,0,0
67,0,0
68,0,0
69,1,1
70,0,0
71,1,1
72,1,1
73,1,1
74,0,0
75,1,1
76,1,1
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,1,1
84,1,1
85,1,1
86,0,0
87,0,0
88,1,1
89,0,0
90,0,0
91,0,0
92,0,0
93,1,1
94,0,0
95,1,1
96,0,0
97,0,0
98,1,1
99,1,1
