,labels,preds
0,0,0
1,1,1
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,1,1
9,1,1
10,1,1
11,0,0
12,1,1
13,1,1
14,1,1
15,0,0
16,1,1
17,0,0
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,0,0
24,1,1
25,0,0
26,0,0
27,1,1
28,0,0
29,0,0
30,0,0
31,0,0
32,1,1
33,0,0
34,0,0
35,0,0
36,1,1
37,0,0
38,1,1
39,0,0
40,1,1
41,0,0
42,1,1
43,1,1
44,0,0
45,1,1
46,1,1
47,0,0
48,1,1
49,1,1
50,0,0
51,1,1
52,0,0
53,0,0
54,0,0
55,0,0
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,0,0
62,0,0
63,1,1
64,0,0
65,0,0
66,1,1
67,0,0
68,0,0
69,1,1
70,0,0
71,1,1
72,1,1
73,0,0
74,0,0
75,1,1
76,0,0
77,0,0
78,1,1
79,0,0
80,0,0
81,1,1
82,0,0
83,0,0
84,1,1
85,1,0
86,0,0
87,0,0
88,1,1
89,1,1
90,0,0
91,0,0
92,0,0
93,1,1
94,1,1
95,0,0
96,1,1
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,1,1
104,1,1
105,0,0
106,0,0
107,0,0
108,1,1
109,0,0
110,0,0
111,1,1
112,0,0
113,0,0
114,1,1
115,1,1
116,0,0
117,1,1
118,1,1
119,0,0
120,1,1
121,1,1
122,1,1
123,0,0
124,1,1
125,0,0
126,0,0
127,0,0
128,0,0
129,1,1
130,1,1
131,0,0
132,1,1
133,1,1
134,0,0
135,1,1
136,0,0
137,1,1
138,0,0
139,0,0
140,1,1
141,0,0
142,0,0
143,0,0
144,1,1
145,1,1
146,0,0
147,1,1
148,0,0
149,0,0
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,0,0
156,0,0
157,0,0
158,0,0
159,1,1
160,0,0
161,1,1
162,0,0
163,0,0
164,1,1
165,0,0
166,1,1
167,0,0
168,0,0
169,0,0
170,1,1
171,0,0
172,0,0
173,1,1
174,0,0
175,0,0
176,1,1
177,0,0
178,1,1
179,1,1
180,0,0
181,0,0
182,1,1
183,1,1
184,0,0
185,1,1
186,1,1
187,0,0
188,1,1
189,0,0
190,1,1
191,1,1
192,0,0
193,0,0
194,0,0
195,0,0
196,1,1
197,0,0
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,0,0
204,0,0
205,0,0
206,1,1
207,0,0
208,0,0
209,0,0
210,1,1
211,0,0
212,0,0
213,1,1
214,0,0
215,0,0
216,0,0
217,1,1
218,1,1
219,1,1
220,0,0
221,1,1
222,0,0
223,0,0
224,0,0
225,0,0
226,1,1
227,0,0
228,1,1
229,1,1
230,1,1
231,0,0
232,0,0
233,1,1
234,1,1
235,1,1
236,0,0
237,0,0
238,0,0
239,0,0
240,1,1
241,1,1
242,1,1
243,1,1
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,1,0
250,1,1
251,1,1
252,1,1
253,1,1
254,0,0
255,1,1
256,1,1
257,0,0
258,1,1
259,0,0
260,1,1
261,0,0
262,1,1
263,0,0
264,1,1
265,0,0
266,1,1
267,0,0
268,1,1
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,1,1
276,0,0
277,1,1
278,1,1
279,0,0
280,0,0
281,1,1
282,1,1
283,1,1
284,0,0
285,1,1
286,1,1
287,0,0
288,0,0
289,1,1
290,0,0
291,0,0
292,1,1
293,0,0
294,0,0
295,0,0
296,1,0
297,1,1
298,0,0
299,0,0
300,0,0
301,0,0
302,1,1
303,0,0
304,0,0
305,1,1
306,1,1
307,1,1
308,0,0
309,1,1
310,0,0
311,1,1
312,1,1
313,0,0
314,1,1
315,0,0
316,0,0
317,0,0
318,1,1
319,0,0
320,1,1
321,1,1
322,1,1
323,0,0
324,1,1
325,0,0
326,0,0
327,0,0
328,1,1
329,1,1
330,1,1
331,1,1
332,0,0
333,1,1
334,0,0
335,1,1
336,1,1
337,0,0
338,1,1
339,0,0
340,0,0
341,1,1
342,1,1
343,0,0
344,1,1
345,0,0
346,1,1
347,1,1
348,0,0
349,1,1
350,1,1
351,0,0
352,1,1
353,1,1
354,0,0
355,0,0
356,1,1
357,0,0
358,0,0
359,1,1
360,1,1
361,1,1
362,0,0
363,0,0
364,1,1
365,0,0
366,0,0
367,1,1
368,0,0
369,0,0
370,1,1
371,0,0
372,0,0
373,1,1
374,1,1
375,1,1
376,1,1
377,1,1
378,0,0
379,1,1
380,0,0
381,0,0
382,0,0
383,1,1
384,1,1
385,0,0
386,0,0
387,0,0
388,0,0
389,1,1
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
