,labels,preds
0,0,0
1,1,1
2,0,0
3,1,1
4,1,1
5,0,0
6,0,0
7,1,1
8,1,1
9,0,0
10,1,1
11,0,0
12,1,1
13,1,1
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,1,1
21,1,1
22,0,0
23,1,1
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,1,1
34,1,1
35,1,1
36,0,0
37,1,1
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,1,1
44,0,0
45,1,1
46,1,1
47,0,0
48,0,0
49,0,0
50,0,0
51,1,1
52,0,0
53,1,1
54,0,0
55,1,1
56,1,1
57,0,0
58,1,1
59,1,1
60,0,0
61,1,1
62,1,1
63,1,1
64,1,1
65,0,0
66,0,0
67,1,1
68,1,1
69,0,0
70,1,1
71,0,0
72,0,0
73,1,1
74,1,1
75,1,1
76,1,1
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,1,1
87,0,0
88,1,1
89,0,0
90,0,0
91,0,0
92,0,0
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,0,0
