,labels,preds
0,1,1
1,1,1
2,0,0
3,0,0
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,0,0
10,1,1
11,0,0
12,0,0
13,0,0
14,1,1
15,0,0
16,0,0
17,1,1
18,1,1
19,1,1
20,0,0
21,0,0
22,0,0
23,1,1
24,0,0
25,0,0
26,1,1
27,1,1
28,1,1
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,1,1
35,0,0
36,0,0
37,1,1
38,1,1
39,1,1
40,0,0
41,1,1
42,1,1
43,1,1
44,0,0
45,0,0
46,0,0
47,0,0
48,1,1
49,0,0
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,0,0
56,0,0
57,0,0
58,1,1
59,0,0
60,1,1
61,1,1
62,1,1
63,1,1
64,0,0
65,1,1
66,1,1
67,1,1
68,1,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,1,1
77,1,1
78,1,1
79,0,0
80,0,0
81,1,1
82,1,1
83,0,0
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,0,0
90,0,0
91,1,1
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,1,1
100,1,1
101,0,0
102,0,0
103,0,0
104,1,1
105,0,0
106,0,0
107,1,1
108,0,0
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,0,0
118,1,1
119,0,0
120,0,0
121,0,0
122,1,1
123,1,1
124,0,0
125,1,1
126,0,0
127,1,1
128,0,0
129,1,1
130,0,0
131,1,1
132,1,1
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,1,1
139,0,0
140,1,1
141,0,0
142,1,1
143,0,0
144,1,1
145,0,0
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,0,0
152,0,0
153,1,1
154,0,0
155,1,1
156,0,0
157,1,1
158,0,0
159,0,0
160,0,0
161,0,0
162,1,1
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,1,1
172,1,1
173,0,0
174,0,0
175,1,1
176,1,1
177,1,1
178,0,0
179,0,0
180,0,0
181,1,1
182,0,0
183,0,0
184,1,1
185,0,0
186,0,0
187,1,1
188,0,0
189,0,0
190,0,0
191,1,1
192,1,1
193,0,0
194,0,0
195,1,1
196,1,1
197,0,0
198,0,0
199,1,1
200,0,0
201,1,1
202,1,1
203,0,0
204,1,1
205,1,1
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,1,1
212,1,0
213,0,0
214,1,1
215,1,1
216,0,0
217,1,1
218,0,0
219,1,1
220,1,1
221,0,0
222,0,0
223,1,1
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,1,1
230,1,1
231,1,1
232,1,1
233,0,0
234,0,0
235,1,1
236,1,1
237,0,0
238,1,1
239,1,1
240,0,0
241,0,0
242,1,1
243,1,1
244,0,0
245,0,0
246,1,1
247,0,0
248,1,1
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,1,1
256,1,1
257,0,0
258,0,0
259,1,1
260,0,0
261,1,1
262,1,1
263,0,0
264,0,0
265,0,0
266,1,1
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,1,1
273,1,1
274,0,0
275,1,1
276,1,1
277,0,0
278,0,0
279,1,1
280,0,0
281,0,0
282,1,1
283,1,1
284,1,1
285,0,0
